title,summary,keywords,exhibitors,speakers,location,time,official_website,event_insight,url,category,additional_info
World's Greatest Collector Car Auctions (Barrett-Jackson),"World's Greatest Collector Car Auctions features a display of products such as classic automobiles, antique cars, vintage cars, collector cars, spare parts and accessories, auto components, and auto equipments, and much more.","['Collector Cars', 'Car Auction', 'Classic Cars', 'Vintage Cars', 'Muscle Cars', 'Exotic Cars', 'Automobilia', 'Auto & Automotive', 'Antiques & Philately', 'Barrett-Jackson']","Exhibitor profiles typically include sellers of classic automobiles, antique cars, vintage cars, collector cars, spare parts, accessories, auto components, auto equipment, restoration services, and automotive lifestyle products. Specific exhibitor lists vary per auction event.","While not featuring traditional conference speakers, the events prominently feature professional auctioneers, expert commentators (especially for televised auctions), and occasionally vehicle consignors or special guests presenting specific vehicles.","Multiple locations throughout the year. Upcoming event listed on 10times: Huntington Beach, CA, USA (Note: Barrett-Jackson hosts auctions in various cities like Scottsdale, Palm Beach, Las Vegas, etc.)",Multiple dates. Upcoming event listed on 10times: 24 - 27 Oct 2024 (Huntington Beach). Check the official Barrett-Jackson website for the full schedule.,https://www.barrett-jackson.com/,"Barrett-Jackson's ""World's Greatest Collector Car Auctions"" represent premier events within the automotive collecting world, celebrated for their electric atmosphere and extensive array of highly sought-after vehicles. These auctions serve as crucial hubs for dedicated collectors, passionate enthusiasts, and savvy investors aiming to buy or sell distinctive classic, muscle, exotic, and custom automobiles. Their significance stems from both the impressive volume and caliber of cars presented—often featuring rare and historically significant models—and the overall spectacle. The target audience is broad, encompassing affluent collectors and dealers, as well as car aficionados and families drawn to the excitement and displays. Attending provides an opportunity to witness automotive history change hands, potentially discover a dream vehicle (frequently offered at ""no reserve""), browse fascinating automobilia, and immerse oneself in a vibrant community of like-minded individuals. The live auction setting, often amplified by television broadcasts, delivers a unique and thrilling experience distinct from conventional car shows.",https://10times.com/world-s-greatest-collector-auctions,"Auto & Automotive, Antiques & Philately","Unique features often include a significant number of vehicles auctioned with ""no reserve,"" amplifying the bidding excitement. Beyond cars, a diverse collection of automobilia, such as vintage signs and petroliana, is also auctioned. Major Barrett-Jackson events frequently receive live television coverage, bringing the action to a wider audience. The auctions also feature a large marketplace area with automotive lifestyle vendors, restoration services, and product demonstrations, creating a comprehensive automotive experience. The sheer scale of flagship events like the Scottsdale auction is a defining characteristic."
SEMA Show,"The SEMA Show is the premier automotive specialty products trade event globally. It draws industry professionals to discover the latest products, trends, and technologies in vehicle customization and performance, featuring thousands of exhibitors, educational sessions, and networking opportunities.","['Automotive Aftermarket', 'Specialty Equipment', 'Performance Parts', 'Custom Vehicles', 'Trade Show', 'Automotive Industry', 'Vehicle Customization', 'Automotive Trade']","Features thousands of exhibitors, including manufacturers of performance parts, restoration supplies, off-road equipment, mobile electronics, tools, and collision repair products. The specific list is extensive and available on the official event website.","Features a wide range of speakers, including industry leaders, technical experts, business consultants, and celebrity automotive personalities, primarily participating in educational seminars and panel discussions.","Las Vegas Convention Center, Las Vegas, NV, USA","November 5-8, 2024 (Please verify exact dates on the official website for future years)",https://www.semashow.com/,"The SEMA Show, organized by the Specialty Equipment Market Association, stands as the premier global trade event dedicated to the automotive aftermarket industry. Held annually in Las Vegas, it serves as a vital marketplace connecting manufacturers of specialty parts, accessories, and performance products with a vast audience of qualified buyers from around the world. This event is strictly trade-only, targeting professionals such as manufacturers, buyers, retailers, distributors, installers, restoration specialists, and media representatives. Attending SEMA offers unparalleled opportunities to discover thousands of new product innovations, witness the latest trends in vehicle customization and technology, network with industry leaders and peers, and participate in extensive educational programs covering technical skills, market trends, and business strategies. Its sheer scale and exclusive focus on the specialty automotive sector make it an indispensable event for businesses aiming to thrive in this dynamic market, offering a firsthand look at the future of automotive performance and style.",https://10times.com/sema-show,Automotive Trade Show,
10th International Conference on Nanoscience and Nanotechnology (ICONN),"International Conference on Nanoscience and Nanotechnology aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Nanoscience and Nanotechnology. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Nanoscience and Nanotechnology.","['Nanoscience', 'Nanotechnology', 'Science & Research', 'IT & Technology', 'Academic Research', 'Innovation', 'Interdisciplinary']",Specific exhibitors are not listed on the provided 10times page.,Specific speakers are not listed on the provided 10times page.,"Brisbane Convention & Exhibition Centre, Brisbane, Australia",13 - 17 Feb 2024,https://www.iconn2024.com/,"The 10th International Conference on Nanoscience and Nanotechnology (ICONN 2024) stands as a significant biennial gathering, bringing together leading figures in the rapidly evolving fields of nanoscience and nanotechnology. It serves as a premier interdisciplinary platform primarily targeting academic scientists, researchers, research scholars, practitioners, and educators. The event's core purpose is to facilitate the exchange of experiences and cutting-edge research findings, covering the entire spectrum of these fields. Attendees should consider participating to present their work, engage in discussions on recent innovations, trends, and practical challenges, and explore potential solutions. It offers invaluable networking opportunities with international peers and leaders. Its status as the 10th iteration underscores its established role in the scientific community, making it a key event for those looking to stay abreast of advancements and contribute to the future direction of nanoscience and nanotechnology.",https://10times.com/e1d5-74s8-sgxr-k,"Science & Research, IT & Technology",
Northern California Home & Landscape Expo,"Northern California Home & Landscape Expo showcases products like building materials, remodeling, decorating products & services, furnishings, landscaping products & services, pools, spas and much more. It is a key event for homeowners seeking inspiration, expert advice, and direct access to vendors for home improvement and landscaping projects.","['Home & Garden', 'Building & Construction', 'Remodeling', 'Landscaping', 'Home Decor', 'Furnishings', 'Outdoor Living', 'Home Improvement']","Hundreds of exhibitors covering categories such as building materials, remodeling services, decorating, furnishings, landscaping, pools, spas, and general home improvement. Specific exhibitor list not available on the provided URL.","The event features workshops and seminars, but specific speaker details are not listed on the provided URL.","Cal Expo, Sacramento, USA","Feb 02 - 04, 2024 (Note: Dates based on the provided 10times URL; check official website for future dates)",https://www.homeandlandscapeexpo.com/,"The Northern California Home & Landscape Expo is a premier event in the Sacramento region, serving as a comprehensive resource for homeowners seeking inspiration and solutions for their living spaces. As the area's largest three-day show of its kind, it holds significant value by bringing together hundreds of exhibitors under one roof, showcasing everything from building materials, remodeling services, and decorating products to furnishings, landscaping supplies, pools, and spas. The event primarily targets homeowners, DIY enthusiasts, and individuals planning home improvement or landscaping projects. Attending offers a unique opportunity to explore the latest trends, compare offerings from various vendors, gather ideas, and connect directly with local contractors and design professionals. Its unique features include a wide array of exhibits covering virtually every aspect of home and garden enhancement, alongside informative workshops and seminars offering practical advice and expert insights, making it an invaluable event for anyone looking to improve their home environment.",https://10times.com/northern-california-home,"Home & Office, Building & Construction",
Florida Realtors Convention & Trade Expo,"The largest annual gathering for Florida real estate professionals, featuring educational sessions, networking opportunities, CE credits, and a comprehensive trade show.","['Real Estate', 'Realtors', 'Convention', 'Trade Show', 'Expo', 'Florida', 'Networking', 'Education', 'Professional Development', 'PropTech', 'Continuing Education']","Features hundreds of exhibitors showcasing products and services relevant to the real estate industry, including technology providers (CRMs, marketing tools), mortgage lenders, insurance companies, home warranty providers, inspection services, legal firms, and more. (Specific list typically available on the official event website closer to the date).","Includes a mix of keynote speakers (often including celebrity or motivational figures), industry experts, economists providing market forecasts, trainers focusing on sales and technology, and legal/legislative update presenters. (Specific speaker lineup varies each year and is detailed on the official website). For 2024, examples might include Pam Grier, Matthew Ferrara, Dr. Elliot Eisenberg.","Rosen Shingle Creek, Orlando, Florida, USA","August 21-22, 2024 (Based on 10times listing for 2024; confirm exact dates/times on official website)",https://convention.floridarealtors.org/,"The Florida Realtors® Convention & Trade Expo is the premier annual gathering for real estate professionals across the state, recognized as a cornerstone event for the industry within Florida. It primarily targets Realtors®, brokers, appraisers, property managers, and affiliate members seeking professional growth, networking, and business development opportunities. Attendees benefit from insightful educational sessions covering the latest market trends, legal updates, technology advancements (PropTech), and sales strategies, often qualifying for valuable continuing education (CE) credits. The convention's significance lies in its scale, bringing together thousands of peers and industry leaders under one roof. Someone should attend to gain actionable knowledge, discover innovative tools and services at the extensive trade expo, hear from influential speakers including economists and top producers, and build crucial connections within the Florida real estate community. Its unique draw often includes high-profile keynote speakers from outside the industry alongside specialized educational tracks and the sheer breadth of vendors present on the expo floor.",https://10times.com/florida-realtors-convention-trade-expo,Real Estate / Business Services,
Global Summit on Condensed Matter Physics (GSCMP2024),"Global Summit on Condensed Matter Physics aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Condensed Matter Physics. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Condensed Matter Physics.","['Condensed Matter Physics', 'Physics', 'Academic Scientists', 'Researchers', 'Research Scholars', 'Science', 'Research', 'Innovation', 'Interdisciplinary Platform']",Not listed on provided URL,Not listed on provided URL,"V Hotel Dubai, Curio Collection by Hilton, Dubai, UAE",18 Nov - 20 Nov 2024,https://www.continuumforums.com/2024/gscmp,"The Global Summit on Condensed Matter Physics (GSCMP2024) is a significant international gathering dedicated to advancing the field of Condensed Matter Physics. Scheduled for November 2024 in Dubai, it serves as a premier interdisciplinary forum aiming to unite leading academic scientists, researchers, scholars, practitioners, and educators. The summit's core objective is to facilitate the exchange of experiences and research findings, fostering collaboration and discussion on the latest innovations, emerging trends, and practical challenges within the discipline. Attendees can expect a vibrant environment for presenting their work, learning about cutting-edge developments, and engaging in meaningful discussions. This event is ideal for anyone actively involved in condensed matter physics research or application who seeks to network with peers, gain new insights, and contribute to the field's collective knowledge base. The emphasis on bringing together diverse experts from academia and potentially industry provides a unique opportunity for cross-disciplinary learning and problem-solving.",https://10times.com/e1d4-r6x3-z9dr-d,Science & Research,
Florida National Dental Convention & Expo (FNDC),"The Florida National Dental Convention (FNDC) is one of the leading dental meetings in the country, offering high-quality continuing education, networking opportunities, and a comprehensive exhibit hall featuring the latest dental products and services. It caters to the entire dental team.","['Dental', 'Dentistry', 'Continuing Education', 'Dental Technology', 'Oral Health', 'Dental Practice Management', 'Dental Trade Show', 'Healthcare']","['3M', 'Dentsply Sirona', 'Henry Schein Dental', 'Patterson Dental', 'Colgate', 'GC America', 'Ivoclar Vivadent', 'Shofu Dental Corporation', '(Note: Hundreds of exhibitors attend; check official website for full list)']",['(Note: Features numerous speakers across various dental specialties and practice management topics; check official website for the full schedule and speaker list for the specific year)'],"Gaylord Palms Resort & Convention Center, Kissimmee, Florida, USA","June 27 - 29, 2024 (Please verify dates for future years on the official website)",https://www.floridadentalconvention.com/,"The Florida National Dental Convention (FNDC), presented by the Florida Dental Association, is a significant annual event for the dental community, particularly in the Southeastern United States. It serves as a major hub for continuing education, offering a wide array of courses designed to meet the licensure requirements and professional development needs of the entire dental team. The convention targets dentists, dental hygienists, dental assistants, office staff, laboratory technicians, and dental students. Attending FNDC provides valuable opportunities to learn about the latest clinical advancements, practice management strategies, and technological innovations directly from experts in the field. Beyond the educational aspect, it facilitates crucial networking with peers and industry leaders. A unique feature is its expansive exhibit hall, marketed as 'The Premier Dental Marketplace in the Southeast,' where hundreds of vendors showcase cutting-edge products, equipment, and services, allowing attendees to compare offerings and make informed decisions for their practices.",https://10times.com/florida-national-dental-convention,"Medical & Pharma, Dental","{'title': 'Florida National Dental Convention & Expo (FNDC)', 'summary': 'The Florida National Dental Convention (FNDC) is one of the leading dental meetings in the country, offering high-quality continuing education, networking opportunities, and a comprehensive exhibit hall featuring the latest dental products and services. It caters to the entire dental team.', 'keywords': ['Dental', 'Dentistry', 'Continuing Education', 'Dental Technology', 'Oral Health', 'Dental Practice Management', 'Dental Trade Show', 'Healthcare'], 'exhibitors': ['3M', 'Dentsply Sirona', 'Henry Schein Dental', 'Patterson Dental', 'Colgate', 'GC America', 'Ivoclar Vivadent', 'Shofu Dental Corporation', '(Note: Hundreds of exhibitors attend; check official website for full list)'], 'speakers': ['(Note: Features numerous speakers across various dental specialties and practice management topics; check official website for the full schedule and speaker list for the specific year)'], 'location': 'Gaylord Palms Resort & Convention Center, Kissimmee, Florida, USA', 'time': 'June 27 - 29, 2024 (Please verify dates for future years on the official website)', 'category': 'Medical & Pharma, Dental'}"
Greater New York Dental Meeting (GNYDM),"The Greater New York Dental Meeting is one of the largest dental congresses and expositions in the United States, featuring extensive educational programming, hands-on workshops, and a vast exhibition floor showcasing the latest in dental technology, products, and services for the entire dental team.","['Dental', 'Dentistry', 'Oral Health', 'Dental Education', 'CE Credits', 'Dental Technology', 'Dental Trade Show', 'New York', 'GNYDM', 'Dental Meeting', 'Dental Congress', 'Healthcare']","Hundreds of exhibitors showcase dental products, technology, equipment, and services. Refer to the official website (gnydm.com) for a comprehensive, searchable list and floor plan.","Features numerous prominent speakers, educators, and researchers from the dental field presenting seminars, essays, and hands-on workshops. Refer to the official website (gnydm.com) for the detailed program and speaker list.","Jacob K. Javits Convention Center, New York, NY, USA","Typically held annually around late November / early December. Example: November 29 - December 4, 2024 (Check official website for specific dates and times for future events).",https://www.gnydm.com/,"The Greater New York Dental Meeting (GNYDM) stands as one of the largest and most influential dental conventions globally, held annually in New York City. Its significance lies in its vast scale, offering unparalleled opportunities for continuing education and showcasing the latest industry innovations. The event targets the entire dental team: dentists (general practitioners and specialists), dental hygienists, dental assistants, dental technicians, laboratory owners, and dental students. Professionals attend GNYDM to earn CE credits through a wide array of seminars and hands-on workshops led by renowned experts, explore a massive exhibition floor featuring hundreds of vendors displaying cutting-edge technology, products, and services, and network with peers and industry leaders from around the world. A unique feature is often its combination of extensive, high-quality education with historically free admission to the expansive exhibit hall, making it exceptionally accessible for discovering the latest advancements in dental care and practice management.",https://10times.com/greaternewyork-dental-meeting,Medical & Pharma; Education & Training; Dental,"{'title': 'Greater New York Dental Meeting (GNYDM)', 'summary': 'The Greater New York Dental Meeting is one of the largest dental congresses and expositions in the United States, featuring extensive educational programming, hands-on workshops, and a vast exhibition floor showcasing the latest in dental technology, products, and services for the entire dental team.', 'keywords': ['Dental', 'Dentistry', 'Oral Health', 'Dental Education', 'CE Credits', 'Dental Technology', 'Dental Trade Show', 'New York', 'GNYDM', 'Dental Meeting', 'Dental Congress', 'Healthcare'], 'exhibitors': 'Hundreds of exhibitors showcase dental products, technology, equipment, and services. Refer to the official website (gnydm.com) for a comprehensive, searchable list and floor plan.', 'speakers': 'Features numerous prominent speakers, educators, and researchers from the dental field presenting seminars, essays, and hands-on workshops. Refer to the official website (gnydm.com) for the detailed program and speaker list.', 'location': 'Jacob K. Javits Convention Center, New York, NY, USA', 'time': 'Typically held annually around late November / early December. Example: November 29 - December 4, 2024 (Check official website for specific dates and times for future events).', 'category': 'Medical & Pharma; Education & Training; Dental'}"
International Contemporary Furniture Fair (ICFF),"ICFF is North America's leading platform for contemporary furnishing design, showcasing a wide range of products including furniture, lighting, textiles, seating, and materials for residential and commercial interiors to an audience of architects, interior designers, retailers, and developers.","['Contemporary Design', 'Furniture', 'Lighting', 'Interior Design', 'Architecture', 'Textiles', 'Accessories', 'Kitchen & Bath', 'Materials', 'Trade Show', 'Design Exhibition']","Features hundreds of established and emerging designers and manufacturers from around the globe showcasing products across furniture, lighting, textiles, materials, kitchen & bath, and more. A detailed list is typically available on the official event website.","ICFF typically hosts the 'ICFF Talks' program, featuring a diverse lineup of designers, architects, industry leaders, and innovators discussing current trends, challenges, and inspirations in the design world. Specific speaker lists are usually announced closer to the event date on the official website.","Jacob K. Javits Convention Center, New York City, NY, USA (based on recent editions)","Typically held annually in May (e.g., May 19-21, 2024). Check the official website for specific dates for the upcoming edition.",https://icff.com/,"The International Contemporary Furniture Fair (ICFF) stands as North America's principal showcase for global contemporary design. Held annually in New York City, it's a pivotal event connecting designers, architects, retailers, developers, and manufacturers from around the world. Attendees explore a vast array of high-end, design-driven products across categories like furniture, lighting, textiles, seating, wall coverings, flooring, kitchen & bath, and accessories. ICFF is significant not just for sourcing new products but also for discovering emerging trends and networking with industry leaders. Attending offers professionals the chance to see innovative designs firsthand, meet the creators behind them, and gain inspiration for future projects. Its co-location with WantedDesign Manhattan often broadens the scope, highlighting independent designers and studios. The robust ICFF Talks program, featuring influential figures discussing current topics, adds significant educational value, making it a comprehensive experience for anyone serious about contemporary design.",https://10times.com/contemporary-furniture-fair,Trade Show / Design Exhibition,
Home & Remodeling Show - Ocean County / Monmouth County (Jenks Productions),"A comprehensive home show connecting homeowners in the Monmouth/Ocean County area with exhibitors specializing in remodeling, renovation, decorating, landscaping, and building products/services.","['Home Improvement', 'Remodeling', 'Home Show', 'Construction', 'Renovation', 'Decorating', 'Landscaping', 'Building Products', 'Home Services', 'Ocean County', 'Monmouth County', 'New Jersey']","Features numerous exhibitors including contractors, builders, remodelers, designers, landscapers, suppliers of windows, doors, roofing, flooring, kitchen & bath fixtures, home furnishings, and more.",Typically features exhibitors and potentially local experts or demonstrations rather than a dedicated lineup of keynote speakers.,"Robert J. Collins Arena At Brookdale Community College, 765 Newman Springs Rd, Lincroft, NJ 07738, USA (Note: Venue is in Monmouth County, serving the wider region including Ocean County)","Dates vary annually. Please check the organizer's website (Jenks Productions) for the latest schedule. (Past events often held in Fall, e.g., September).",https://www.jenksproductions.com/,"The Home & Remodeling Show, organized by Jenks Productions at Brookdale Community College (often serving the Monmouth and Ocean County regions), is a significant regional event connecting homeowners with a wide array of home improvement professionals and suppliers. It's primarily targeted towards homeowners looking to undertake renovation, remodeling, decorating, or landscaping projects, as well as those seeking inspiration or specific products for their homes. Attending offers a unique opportunity to meet face-to-face with numerous contractors, designers, builders, and suppliers all under one roof. This allows for efficient comparison of services, gathering quotes, discovering new trends and technologies, and potentially accessing show-exclusive discounts or offers. It's an ideal venue for anyone planning home upgrades, seeking expert advice, or simply exploring the latest in home design and construction.",https://10times.com/home-remodeling-oceancounty,"Home & Office, Building & Construction","A key feature of Jenks Productions' home shows is the sheer breadth of local and regional exhibitors covering virtually every aspect of home improvement, from kitchens and baths to roofing, windows, landscaping, and smart home technology. Unlike conferences focused on keynote speakers, the emphasis here is on the exhibition floor, providing direct access to service providers and product demonstrations."
